iter	Passed	Remaining
0	156	156758
1	161	80656
2	165	55139
3	170	42380
4	174	34695
5	179	29683
6	183	26027
7	187	23258
8	191	21104
9	196	19409
10	200	18000
11	204	16868
12	209	15908
13	213	15042
14	218	14328
15	223	13722
16	228	13222
17	233	12733
18	238	12292
19	243	11909
20	248	11570
21	252	11231
22	256	10905
23	261	10620
24	265	10349
25	269	10099
26	273	9869
27	278	9662
28	282	9460
29	286	9271
30	291	9098
31	295	8925
32	297	8723
33	300	8537
34	303	8369
35	306	8200
36	308	8038
37	311	7890
38	314	7756
39	317	7625
40	320	7496
41	323	7382
42	326	7260
43	329	7150
44	331	7042
45	334	6936
46	336	6830
47	339	6736
48	342	6647
49	345	6562
50	348	6475
51	350	6393
52	353	6314
53	356	6239
54	358	6167
55	361	6096
56	364	6025
57	367	5960
58	369	5894
59	372	5835
60	375	5780
61	378	5726
62	381	5676
63	384	5626
64	387	5576
65	390	5523
66	393	5476
67	394	5409
68	397	5362
69	400	5314
70	402	5268
71	405	5222
72	408	5181
73	410	5140
74	413	5101
75	416	5062
76	418	5021
77	421	4988
78	424	4951
79	427	4917
80	430	4881
81	432	4845
82	435	4809
83	438	4776
84	440	4739
85	443	4709
86	444	4667
87	447	4639
88	450	4608
89	453	4581
90	455	4554
91	458	4525
92	461	4497
93	463	4471
94	466	4447
95	469	4421
96	472	4395
97	475	4373
98	477	4346
99	480	4322
100	482	4298
101	484	4265
102	487	4242
103	489	4220
104	492	4198
105	495	4180
106	498	4157
107	500	4136
108	503	4114
109	505	4092
110	508	4075
111	511	4057
112	514	4034
113	516	4011
114	518	3988
115	520	3963
116	521	3938
117	523	3914
118	525	3886
119	526	3861
120	528	3837
121	529	3812
122	530	3783
123	532	3758
124	533	3737
125	535	3717
126	537	3696
127	538	3670
128	540	3648
129	541	3626
130	543	3605
131	545	3586
132	547	3565
133	548	3547
134	550	3528
135	552	3509
136	554	3490
137	555	3470
138	557	3451
139	558	3432
140	560	3414
141	562	3397
142	563	3379
143	565	3362
144	567	3344
145	568	3327
146	570	3311
147	572	3295
148	574	3279
149	575	3262
150	577	3247
151	579	3231
152	580	3215
153	582	3199
154	584	3184
155	585	3168
156	587	3154
157	589	3139
158	590	3125
159	592	3111
160	594	3096
161	595	3082
162	597	3068
163	599	3054
164	600	3040
165	602	3027
166	604	3013
167	605	3000
168	607	2987
169	609	2975
170	610	2962
171	612	2949
172	614	2937
173	616	2924
174	618	2916
175	620	2904
176	622	2893
177	624	2882
178	625	2870
179	627	2858
180	628	2843
181	630	2832
182	632	2822
183	633	2810
184	635	2799
185	637	2788
186	638	2776
187	640	2765
188	641	2754
189	643	2743
190	645	2733
191	647	2722
192	648	2712
193	650	2701
194	652	2691
195	653	2682
196	655	2672
197	657	2662
198	658	2652
199	660	2642
200	662	2633
201	664	2623
202	665	2614
203	667	2604
204	669	2594
205	670	2584
206	672	2575
207	674	2567
208	675	2558
209	677	2549
210	679	2540
211	681	2531
212	682	2522
213	684	2513
214	686	2504
215	687	2496
216	689	2488
217	691	2479
218	693	2471
219	694	2463
220	696	2454
221	698	2446
222	699	2437
223	701	2429
224	702	2421
225	704	2413
226	706	2405
227	707	2397
228	709	2389
229	711	2381
230	713	2373
231	714	2365
232	716	2358
233	718	2350
234	719	2343
235	721	2335
236	723	2328
237	724	2321
238	726	2313
239	728	2306
240	730	2299
241	731	2292
242	733	2284
243	735	2278
244	736	2271
245	738	2263
246	740	2256
247	741	2249
248	743	2243
249	745	2237
250	747	2231
251	749	2224
252	751	2218
253	753	2211
254	754	2205
255	756	2198
256	758	2192
257	760	2186
258	762	2180
259	763	2173
260	765	2166
261	766	2160
